start_time,end_time,duration,average_B,MFR_axis_x,MFR_axis_y,MFR_axis_z,altitude,azimuth,beta,diameter,speed,density
2017-11-15/19:54:00,2017-11-15/20:36:00,42,11.119,-0.020445973,-0.98409009,-0.176490098,100.17,-91.19,0.182532042,646193.869,425.139,11.053
2017-11-16/04:20:00,2017-11-16/05:50:00,90,8.144,-0.522186995,0.82355088,0.22155045,77.2,122.38,0.791055441,771633.5828,462.231,6.854
2017-11-16/09:48:00,2017-11-16/11:06:00,78,4.461,-0.071235865,0.763276339,0.642132998,50.05,95.33,0.778478861,1247437.968,484.704,4.329
2017-11-17/19:07:00,2017-11-17/21:37:00,150,4.022,-0.784930825,0.599505663,0.156450212,81,142.63,0.78287822,858987.9757,404.552,4.676
2017-11-18/19:38:00,2017-11-18/20:13:00,35,3.596,-0.436201066,0.695436895,-0.571048379,124.82,122.1,0.638618767,430459.591,384.726,5.261
2017-11-19/00:37:00,2017-11-19/01:33:00,56,2.344,0.785083055,-0.185569748,-0.590938687,126.22,-13.3,0.826769233,290598.7165,375.508,5.202
2017-11-19/04:57:00,2017-11-19/05:41:00,44,2.318,0.376321375,-0.557428598,-0.74003762,137.73,-55.98,0.609356821,330892.469,368.061,5.153
2017-11-20/16:19:00,2017-11-20/18:12:00,113,8.34,-0.324508756,0.945866346,-0.005562584,90.32,108.94,0.149092674,977281.6245,361.204,12.327
2017-11-20/19:27:00,2017-11-20/20:02:00,35,7.85,-0.640130818,0.45885247,0.616187453,51.96,144.37,0.46031031,309916.4977,381.824,14.045
2017-11-20/23:48:00,2017-11-21/00:34:00,46,12.484,-0.82959348,0.498410225,-0.251718134,104.58,149,0.622079015,253001.3053,418.787,17.118
2017-11-23/06:22:00,2017-11-23/07:00:00,38,3.452,-0.579808056,-0.63545543,-0.509920776,120.66,-132.38,0.754943967,351454.0389,387.434,4.192
2017-11-23/12:14:00,2017-11-23/14:18:00,124,4.24,0.728200376,0.673302829,-0.12801367,97.35,42.76,0.656088293,1110231.318,398.024,5.635
2017-11-23/17:03:00,2017-11-23/17:33:00,30,3.905,-0.072659001,0.973250747,0.217953295,77.41,94.27,0.914750934,344476.0732,385.69,6.556
2017-11-23/18:43:00,2017-11-23/19:42:00,59,4.82,0.09750773,0.840846181,-0.532418907,122.17,83.39,0.437927753,672123.0022,379.998,6.992
2017-11-24/04:24:00,2017-11-24/05:38:00,74,5.451,-0.927006841,0.370448828,0.058531646,86.64,158.22,0.435351402,309199.54,373.742,7.452
2017-11-24/07:17:00,2017-11-24/08:01:00,44,6.017,-0.325816095,0.927127182,-0.185146198,100.67,109.36,0.247985974,294613.0944,376.23,7.019
2017-11-24/11:18:00,2017-11-24/14:36:00,198,6.873,-0.679982781,-0.476364046,0.557405353,56.12,-144.99,0.199443415,1070306.851,381.749,6.147
2017-11-24/16:20:00,2017-11-24/17:38:00,78,7.636,-0.624460936,0.74724263,0.227325946,76.86,129.89,0.256181508,654819.4769,386.365,5.483
2017-11-24/17:42:00,2017-11-24/18:38:00,56,7.826,-0.642724335,0.496464819,-0.583462238,125.69,142.32,0.180498704,497475.0949,387.79,5.288
2017-11-24/18:42:00,2017-11-24/20:00:00,78,6.547,-0.082064785,-0.255793303,-0.963241994,164.42,-107.79,0.230756491,1209658.346,389.247,5.094
2017-11-26/06:03:00,2017-11-26/07:11:00,68,3.251,0.482695818,0.654897273,0.581476033,54.45,53.61,0.490693182,689057.5313,314.693,7.093
2017-11-26/08:33:00,2017-11-26/13:48:00,315,3.508,0.128727913,-0.90225929,-0.411530465,114.3,-81.88,0.369598359,2836770.755,309.338,7.626
2017-11-26/15:17:00,2017-11-26/18:17:00,180,4.312,0.44904232,-0.862878978,-0.231950179,103.41,-62.51,0.356920362,1428959.727,303.012,8.282
2017-11-26/20:44:00,2017-11-26/21:46:00,62,7.504,-0.275821239,-0.926338673,0.256552964,75.13,-106.58,0.313864857,494913.9755,332.319,12.064
2017-11-27/01:03:00,2017-11-27/02:02:00,59,4.537,0.854434729,-0.501202404,-0.13688527,97.87,-30.4,0.773784876,264905.7544,330.468,10.899
2017-11-27/03:44:00,2017-11-27/06:01:00,137,6.717,0.824286342,-0.484453619,-0.293013245,107.04,-30.44,0.172514766,965987.261,348.311,9.712
2017-11-27/06:46:00,2017-11-27/08:00:00,74,8.714,0.734307289,-0.283070505,0.616979718,51.9,-21.08,0.540625811,538133.4262,362.204,8.819
2017-11-27/09:11:00,2017-11-27/10:41:00,90,6.849,0.912541986,-0.354567498,0.203836128,78.24,-21.23,0.49637267,330388.7181,376.713,7.912
2017-11-27/11:16:00,2017-11-27/13:53:00,157,8.889,0.425340503,0.196550205,0.883432806,27.94,24.8,0.306465238,1207856.236,392.106,6.971
2017-11-29/01:30:00,2017-11-29/02:35:00,65,6.53,-0.444029838,-0.894176245,0.057327114,86.71,-116.41,0.99511236,612124.8231,407.246,9.365
2017-11-29/14:15:00,2017-11-29/14:57:00,42,7.093,-0.295746893,-0.728199482,0.618271232,51.81,-112.1,0.591454506,295087.7253,392.433,11.094
2017-11-29/15:56:00,2017-11-29/18:19:00,143,7.225,0.096113145,-0.988801837,0.114163563,83.44,-84.45,0.706155658,1595792.077,380.126,11.126
2017-11-29/18:25:00,2017-11-29/19:27:00,62,6.206,0.785469413,-0.561512828,0.260271579,74.91,-35.56,0.995234132,343172.0268,378.983,10.658
2017-11-29/21:05:00,2017-11-29/21:56:00,51,7.523,0.383831263,-0.76461786,-0.51771915,121.18,-63.34,0.628685832,534122.0782,389.428,9.988
2017-11-29/23:52:00,2017-11-30/01:10:00,78,8.237,0.273661703,-0.47486189,0.836430192,33.23,-60.05,0.583475769,962178.651,401.817,9.206
2017-11-30/02:09:00,2017-11-30/03:57:00,108,7.648,-0.177748173,-0.679226339,-0.712079525,135.4,-104.66,0.735777617,1230384.357,412.394,8.548
